年度,壽山動物園,旗津風景區,蓮池潭,市立美術館,打狗英國領事館文化園區,高雄市立歷史博物館,國立科學工藝博物館,高雄市文化中心,音樂館,忠烈祠,左營孔廟,駁二藝術特區,陽明高雄海洋探索館,愛河（五福四路至博愛一路）,國家體育場（世運主場館）,美濃客家文物館,澄清湖,佛光山,旗山孔廟,茂林遊憩區,寶來/不老溫泉區,高雄農場,洲仔溼地,援中港溼地,金獅湖風景區,義大世界,月世界,紅毛港文化園區
2017,753954,4004015,4983391,752592,476518,350552,2187276,2384426,69479,72540,65788,4266022,58543,283885,977716,107835,1898423,7409939,31304,285799,167343,17288,26340,15446,239838,850401,523558,176053
2018,750367,5860556,5628752,804750,395131,228216,1929030,2191890,72074,56800,65691,4080664,41807,251519,708048,91729,1700858,8679996,36763,218939,203738,18680,16091,8984,262811,879360,435633,133606
2019,660658,6709979,5400300,606043,433516,322087,2058991,1817345,30000,54925,76191,4231454,34444,315224,720963,105394,1324487,9001957,39386,263172,262382,18372,24273,7087,339271,843743,500104,113929
2020,612321,3354170,2646382,410955,119309,178871,1686225,1334170,10268,20485,36551,3639766,0,1565441,605067,101052,1353948,4285583,32905,382869,329564,16336,18464,8983,441957,902345,295420,105121
2021,303476,2721691,1156970,714360,73127,126317,1169467,885650,4841,0,35768,2906842,0,75140,507209,76484,1138312,1930135,28084,268312,348527,7395,13826,5182,302922,513871,466605,77478
2022,90282,5977365,1890911,1461406,85956,313294,1875372,1889668,0,0,333763,6244698,0,6987513,411993,73926,1594544,1496335,168085,994885,1254976,21140,540254,295116,1743061,4132683,610070,81869
2023,1273336,5257541,4192789,1853119,62563,338983,2026078,1863422,0,0,489717,4904620,0,4353653,597337,43009,1675571,2433973,193858,860727,1209897,15079,378452,328955,2125025,4844718,1572535,63037
