年度,月份,1夜,2夜,3夜,4夜,5-7夜,8-15夜,16-30夜,31-60夜,小計,停留夜數,停留人數,年平均留夜
114,1,23715,63885,114545,328589,437366,151944,45442,43607,1209093,8724847,1209093,7.22
總計,,23715,63885,114545,328589,437366,151944,45442,43607,1209093,8724847,1209093,7.22
