年度,居住地,細分,合計,飛機小計,飛機松山,飛機桃園,飛機臺中,飛機高雄,飛機其他,輪船小計,輪船基隆,輪船臺中,輪船高雄,輪船其他
113,歐洲地區,法國 France,"49,853","48,482","1,889","44,058",293,"2,238",4,"1,371","1,035",183,41,112
113,歐洲地區,德國 Germany,"73,680","62,326","2,139","57,130",280,"2,775",2,"11,354","10,823",17,328,186
113,歐洲地區,義大利 Italy,"16,752","15,778",565,"14,183",129,901,0,974,789,15,119,51
113,歐洲地區,荷蘭 Netherlands,"24,602","23,556",846,"21,686",132,890,2,"1,046",373,263,156,254
113,歐洲地區,英國 U.K.,"67,882","60,711","1,824","53,512",899,"4,467",9,"7,171","4,867",758,825,721
113,歐洲地區,西班牙 Spain,"12,914","12,141",369,"10,890",103,779,0,773,569,66,50,88
113,歐洲地區,瑞典 Sweden,"7,174","6,994",217,"6,372",18,387,0,180,116,4,29,31
113,歐洲地區,瑞士 Switzerland,"12,471","11,862",462,"10,784",79,537,0,609,523,3,58,25
113,歐洲地區,奧地利 Austria,"9,860","9,264",245,"8,680",31,307,1,596,539,0,40,17
113,歐洲地區,希臘 Greece,"1,691","1,392",20,"1,083",9,280,0,299,27,65,178,29
113,歐洲地區,俄羅斯 Russian Federation,"6,821","6,270",243,"5,648",54,325,0,551,333,81,85,52
113,歐洲地區,歐洲其他 Others,"58,305","54,569","1,378","49,437",491,"3,261",2,"3,736","1,596",892,599,649
113,歐洲地區,歐洲合計 Total,"349,981","320,955","10,440","290,420","2,564","17,510",21,"29,026","21,714","2,421","2,541","2,350"
113,全區,未列明 Unstated,"2,051","1,993",462,"1,358",29,144,0,58,1,0,9,48
113,全區,總計 Grand Total,"7,857,686","7,598,746","492,407","6,307,538","178,588","616,584","3,629","258,940","131,033","6,524","27,812","93,571"
