年度,居住地,細分,合計,飛機小計,飛機松山,飛機桃園,飛機臺中,飛機高雄,飛機其他,輪船小計,輪船基隆,輪船臺中,輪船高雄,輪船其他
112,歐洲地區,比利時 Belgium,"6,762","6,474",247,"5,890",20,315,2,288,83,83,56,66
112,歐洲地區,法國 France,"42,852","41,850","1,867","38,415",147,"1,406",15,"1,002",771,100,79,52
112,歐洲地區,德國 Germany,"60,704","53,362","1,836","49,485",172,"1,866",3,"7,342","5,133",17,104,177
112,歐洲地區,義大利 Italy,"14,330","13,853",534,"12,666",64,588,1,477,370,19,48,40
112,歐洲地區,荷蘭 Netherlands,"21,571","20,636",475,"19,375",82,701,3,935,227,261,223,224
112,歐洲地區,英國 U.K.,"60,779","55,238","1,568","49,619",595,"3,447",9,"5,541","2,226",581,"1,351","1,383"
112,歐洲地區,西班牙 Spain,"9,836","9,435",330,"8,533",54,515,3,401,304,51,28,18
112,歐洲地區,瑞典 Sweden,"6,245","6,107",234,"5,605",27,241,0,138,99,7,20,12
112,歐洲地區,瑞士 Switzerland,"9,870","9,464",339,"8,725",42,358,0,406,304,0,83,19
112,歐洲地區,奧地利 Austria,"8,612","8,314",201,"7,916",11,186,0,298,194,1,92,11
112,歐洲地區,希臘 Greece,"1,428","1,172",27,947,1,197,0,256,23,52,149,32
112,歐洲地區,俄羅斯 Russian Federation,"5,592","5,129",193,"4,681",40,215,0,463,272,75,83,33
112,歐洲地區,歐洲其他 Others,"50,405","47,554","1,335","43,315",275,"2,623",6,"2,851",793,899,706,453
112,歐洲地區,歐洲合計 Total,"298,986","278,588","9,186","255,172","1,530","12,658",42,"20,398","10,799","2,146","4,933","2,520"
112,全區,未列明 Unstated,"2,375","2,101",403,"1,532",32,133,1,274,2,1,206,65
112,全區,總計 Grand Total,"6,486,951","6,316,753","410,639","5,330,727","107,316","463,270","4,801","170,198","61,875","5,378","71,295","31,650"
113,亞洲地區,日本 Japan,"1,319,592","1,263,834","334,627","875,798",701,"52,689",19,"55,758","54,400",278,172,908
113,亞洲地區,韓國 Korea,"1,003,086","990,878","45,726","854,739","24,051","66,358",4,"12,208","11,467",37,257,447
113,亞洲地區,香港.澳門 Hong Kong.Macao,"1,310,977","1,304,716","4,900","991,461",93056,"214,409",890,"6,261","1,534",0,234,"4,493"
113,亞洲地區,中國大陸 China,"438,212","363,441","48,703","266,177","8,135","40,317",109,"74,771",983,340,"1,330","72,118"
113,亞洲地區,東南亞地區 越南 Vietnam,"370,548","369,622",293,"258,400","41,341","68,645",943,926,439,42,295,150
113,亞洲地區,東南亞地區 泰國 Thailand,"400,038","398,980",712,"378,168",395,"18,278","1,427","1,058",681,6,119,252
113,亞洲地區,東南亞地區 馬來西亞 Malaysia,"429,727","424,846","2,383","396,461",821,"25,123",58,"4,881","1,494",469,128,"2,790"
113,亞洲地區,東南亞地區 新加坡 Singapore,"447,841","443,896","2,917","430,246",460,"10,262",11,"3,945","1,609",53,50,"2,233"
113,亞洲地區,東南亞地區 菲律賓 Philippines,"467,157","455,402",431,"414,234",576,"40,159",2,"11,755","2,796","1,760","6,246",953
113,亞洲地區,東南亞地區 印尼 Indonesia,"224,477","211,318","1,071","184,830",512,"24,872",33,"13,159",871,419,"9,233","2,636"
113,亞洲地區,東南亞地區 東南亞其他地區 Others,"25,603","24,565",127,"23,321",63,995,59,"1,038",166,108,441,323
113,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"2,365,391","2,328,629","7,934","2,085,660","44,168","188,334","2,533","36,762","8,056","2,857","16,512","9,337"
113,亞洲地區,印度 India,"38,158","36,253",245,"32,248",319,"3,441",0,"1,905",252,392,817,444
113,亞洲地區,中東 Middle East,"20,022","19,244",494,"17,925",55,770,0,778,656,11,68,43
113,亞洲地區,亞洲其他 Others,"82,101","81,157","1,377","71,943","1,062","6,750",25,944,272,13,549,110
113,亞洲地區,亞洲合計 Total,"6,577,539","6,388,152","444,006","5,195,951","171,547","573,068","3,580","189,387","77,620","3,928","19,939","87,900"
113,非洲地區,南非 S. Africa,"4,815","4,657",72,"4,247",67,271,0,158,83,31,24,20
113,非洲地區,非洲其他 Others,"6,725","6,517",87,"6,110",48,272,0,208,138,17,20,33
113,非洲地區,非洲合計 Total,"11,540","11,174",159,"10,357",115,543,0,366,221,48,44,53
113,美洲地區,美國 USA,"651,264","628,778","29,820","583,892","2,136","12,920",10,"22,486","16,961",63,"3,903","1,559"
113,美洲地區,加拿大 Canada,"112,137","107,036","3,995","96,792","1,114","5,125",10,"5,101","3,805",8,708,580
113,美洲地區,墨西哥 Mexico,"4,403","3,800",148,"3,520",21,111,0,603,516,9,63,15
113,美洲地區,阿根廷 Argentina,"1,089","1,027",60,901,1,65,0,62,44,0,8,10
113,美洲地區,巴西 Brazil,"4,258","4,008",130,"3,672",29,177,0,250,216,7,20,7
113,美洲地區,美洲其他 Others,"11,704","11,320",344,"10,511",43,422,0,384,321,3,43,17
113,美洲地區,美洲合計 Total,"784,855","755,969","34,497","699,288","3,344","18,820",20,"28,886","21,863",90,"4,745","2,188"
113,大洋洲地區,澳洲 Australia,"112,547","102,624","2,413","93,668",909,"5,627",7,"9,923","8,580",23,420,900
113,大洋洲地區,紐西蘭 New Zealand,"17,053","15,809",393,"14,575",76,764,1,"1,244","1,034",10,70,130
113,大洋洲地區,大洋洲其他 Others,"2,120","2,070",37,"1,921",4,108,0,50,0,4,44,2
113,大洋洲地區,大洋洲合計 Total,"131,720","120,503","2,843","110,164",989,"6,499",8,"11,217","9,614",37,534,"1,032"
113,歐洲地區,比利時 Belgium,"7,976","7,610",243,"6,957",46,363,1,366,124,74,33,135
