日期,項目,我方港口,陸方港口
20081104,兩會簽署「海峽兩岸海運協議」,我方開放11個港口(基隆【含台北】、高雄【含安平】、台中、花蓮、麥寮、布袋、金門料羅、水頭、馬祖福澳、白沙、澎湖馬公)。,大陸開放63個港口（丹東、大連、營口、唐山、錦州、秦皇島、天津、黃驊、威海、煙台、龍口、嵐山、日照、青島、連雲港、大豐、上海、寧波、舟山、台州、嘉興、溫州、福州、松下、寧德、泉州、蕭厝、秀嶼、漳州、廈門、汕頭、潮州、惠州、蛇口、鹽田、赤灣、媽灣、虎門、廣州、珠海、茂名、湛江、北海、防城、欽州、海口、三亞、洋浦、太倉、南通、張家港、江陰、揚州、常熟、常州、泰州、鎮江、南京、蕪湖、馬鞍山、九江、武漢、城陵磯）。
20081211,兩會以換文方式確認,我方增加開放蘇澳港及花蓮和平港，我方共開放13個港口。,大陸維持63個港口。
20100507,兩會以換文方式確認,我方維持13個港口。,大陸增加開放銅陵港(河港)、石島港、萊州港、台州－大麥嶼港區、寧波－舟山港沈家門港區等5個港口，共68個港口。
20110224,兩會以換文方式確認,我方維持13個港口。,大陸增加開放濰坊及安慶等2個港口，共70個港口。
20120629,兩會以換文方式確認,我方維持13個港口。,大陸增加開放煙台港蓬萊港區等乙個港口，共71個港口。
20120821,兩會以換文方式確認,我方維持13個港口。,大陸增加開放深圳港大鏟灣港區等乙個港口，共72個港口。
